Hora/Tiempo,Axis 1,Axis 2,Axis 3,Axis 4,Axis 5,Axis 6,Axis 7
1/1/2024 0:15,0,0,0,0,0,0,0
1/1/2024 0:55,0,0,0,0,0,0,0
1/1/2024 1:35,0,0,0,0,0,0,0
1/1/2024 2:15,0,0,0,0,0,0,0
1/1/2024 2:55,0,0,0,0,0,0,0
1/1/2024 3:35,0,0,0,0,0,0,0
1/1/2024 4:15,0,0,0,0,0,0,0
1/1/2024 4:55,0,0,0,0,0,0,0
1/1/2024 5:35,0,0,0,0,0,0,0
1/1/2024 6:15,0,0,0,0,0,0,0
1/1/2024 6:55,0,0,0,0,0,0,0
1/1/2024 7:35,0,0,0,0,0,0,0
1/1/2024 8:15,0,0,0,0,0,0,0
1/1/2024 8:55,0,0,0,0,0,0,0
1/1/2024 9:35,0,0,0,0,0,0,0
1/1/2024 10:15,0,0,0,0,0,0,0
1/1/2024 10:55,0,0,0,0,0,0,0
1/1/2024 11:35,0,0,0,0,0,0,0
1/1/2024 12:15,0,0,0,0,0,0,0
1/1/2024 12:55,0,0,0,0,0,0,0
1/1/2024 13:35,0,0,0,0,0,0,0
1/1/2024 14:15,0,0,0,0,0,0,0
1/1/2024 14:55,0,0,0,0,0,0,0
1/1/2024 15:36,0,0,0,0,0,0,0
1/1/2024 16:16,0,0,0,0,0,0,0
1/1/2024 16:55,0,0,0,0,0,0,0
1/1/2024 17:35,0,0,0,0,0,0,0
1/1/2024 18:15,0,0,0,0,0,0,0
1/1/2024 18:56,"13.9 (pg51, 5)","32.2 (pg51, 25)","28.6 (pg51, 21)","15.4 (pg51, 18)","9.3 (pg51, 19)","16.1 (pg51, 15)","100 (pg51, 28)"
1/1/2024 19:36,0,0,0,0,0,0,0
1/1/2024 20:19,0,0,0,0,0,0,0
1/1/2024 20:55,0,0,0,0,0,0,0
1/1/2024 21:35,0,0,0,0,0,0,0
1/1/2024 22:15,0,0,0,0,0,0,0
1/1/2024 22:55,0,0,0,0,0,0,0
1/1/2024 23:35,0,0,0,0,0,0,0
1/10/2023 0:14,0,0,0,0,0,0,0
1/10/2023 0:54,0,0,0,0,0,0,0
1/10/2023 1:34,0,0,0,0,0,0,0
1/10/2023 2:16,0,0,0,0,0,0,0
1/10/2023 2:55,0,0,0,0,0,0,0
1/10/2023 3:32,0,0,0,0,0,0,0
1/10/2023 4:13,0,0,0,0,0,0,0
